Platform,Title,Instructor_Partner,Description,Rating,Reviews,Price,Details,URL
Udemy,6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02 Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!,"Rating: 4.6 out of 5 4.6 (38,506)",nan,Current price $74.99,390 questions Beginner,nan
Udemy,CompTIA Network+ (N10-009) Full Course & Practice Exam CompTIA Network+ (N10-009) Bootcamp - Certification preparation course on the most popular networking certification!,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",CompTIA Network+ (N10-009) Bootcamp - Certification preparation course on the most popular networking certification!,"Rating: 4.7 out of 5 4.7 (38,426)",nan,Current price $59.99,32.5 total hours 258 lectures Beginner,nan
Udemy,"TOTAL: CompTIA Security+ Course + Practice Exam SY0-701 Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!","Total Seminars Over 1 Million Enrollments, Mike Meyers, Lyndon WIlliams, Dan Lachance","Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!","Rating: 4.5 out of 5 4.5 (37,678)",nan,Current price $19.99,20.5 total hours 182 lectures All Levels,nan
Udemy,Complete Salesforce Certified Platform Administrator Course Most In-Depth and Current Admin Course - Best Selling Platform Administrator Course Includes ChatGPT Prompt Library,"Rapid Reskill by Mike Wheeler, Aaron Wheeler, Evan Wheeler, Ezekiel Wheeler, Aiden Wheeler",Most In-Depth and Current Admin Course - Best Selling Platform Administrator Course Includes ChatGPT Prompt Library,"Rating: 4.6 out of 5 4.6 (37,081)",nan,Current price $69.99,39.5 total hours 534 lectures All Levels,nan
Udemy,"PL-300 certification prep: Microsoft Power BI Data Analyst Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600","Phillip Burton • over one million students so far, I Do Data Limited","Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600","Rating: 4.6 out of 5 4.6 (36,828)",nan,Current price $94.99,30 total hours 322 lectures Beginner,nan
Udemy,GCP Associate Cloud Engineer - Google Cloud Certification GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!,"Rating: 4.6 out of 5 4.6 (36,344)",nan,Current price $99.99,19 total hours 313 lectures All Levels,nan
Udemy,"Six Sigma: Certified Lean Six Sigma Yellow Belt (Accredited) Lean Six Sigma Yellow Belt (Accredited) | Master Six Sigma Yellow Belt, Minitab & Yellow Belt Case Study | Earn 8 PDUs",Advanced Innovation Group Pro Excellence (AIGPE),"Lean Six Sigma Yellow Belt (Accredited) | Master Six Sigma Yellow Belt, Minitab & Yellow Belt Case Study | Earn 8 PDUs","Rating: 4.6 out of 5 4.6 (36,092)",nan,Current price $79.99,8 total hours 218 lectures Beginner,nan
Udemy,"TOTAL: CompTIA Network+ (N10-009) + Practice Exam Everything you need to pass the CompTIA Network+ Exam (N10-009) from Mike Meyers, Joe Ramm, and Lyndon Williams!","Total Seminars Over 1 Million Enrollments, Mike Meyers","Everything you need to pass the CompTIA Network+ Exam (N10-009) from Mike Meyers, Joe Ramm, and Lyndon Williams!","Rating: 4.6 out of 5 4.6 (34,349)",nan,Current price $79.99,19 total hours 145 lectures All Levels,nan
Udemy,AZ-204 Developing Solutions for Microsoft Azure The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.,"Scott Duffy • 1.000.000+ Students, Software Architect.ca",The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.,"Rating: 4.5 out of 5 4.5 (34,191)",nan,Current price $84.99,8 total hours 93 lectures Intermediate,nan
Udemy,"AZ-900: Microsoft Azure Fundamentals Original Practice Tests Six complete timed practice tests for AZ-900 Azure Fundamentals exam, 300 questions, 100% original material","Scott Duffy • 1.000.000+ Students, Software Architect.ca","Six complete timed practice tests for AZ-900 Azure Fundamentals exam, 300 questions, 100% original material","Rating: 4.6 out of 5 4.6 (33,719)",nan,Current price $64.99,300 questions Beginner,nan
Udemy,AZ-900 Bootcamp: Microsoft Azure Fundamentals (MARCH 2026) Pass the AZ-900 Microsoft Azure Fundamentals Exam with This Comprehensive AZ-900 Exam-Prep Course with AZ-900 Labs,"Thomas Mitchell | 239,000+ Students Taught",Pass the AZ-900 Microsoft Azure Fundamentals Exam with This Comprehensive AZ-900 Exam-Prep Course with AZ-900 Labs,"Rating: 4.6 out of 5 4.6 (31,399)",nan,Current price $89.99,7.5 total hours 100 lectures Beginner,nan
Udemy,AWS Certified Solutions Architect Associate Practice Exams Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests for SAA-C03 topics!,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests for SAA-C03 topics!,"Rating: 4.5 out of 5 4.5 (29,672)",nan,Current price $74.99,390 questions All Levels,nan
Udemy,AWS Certified Cloud Practitioner Practice Exams CLF-C02 AWS Certified Cloud Practitioner Practice Tests | Detailed Explanations | Cover All Exam Topics | 6 Mock Exams [CLF-C02],Mohamed Ali | AWS Certified Cloud Practitioner | Solutions Architect | Developer,AWS Certified Cloud Practitioner Practice Tests | Detailed Explanations | Cover All Exam Topics | 6 Mock Exams [CLF-C02],"Rating: 4.6 out of 5 4.6 (28,401)",nan,Current price $74.99,390 questions Beginner,nan
Udemy,Complete Agile Scrum Master Certification Training Get PSM™ I certified on your first try in 2025! Agile Scrum Simulation + 340 PSM I Practice Questions + [EXTRA] PSM II,"Omni Academy 500,000+ students, Mirko Perkusich, Ph.D., Gustavo Farias 600.000+ Alunos, Omni Academy - Student Care & Support",Get PSM™ I certified on your first try in 2025! Agile Scrum Simulation + 340 PSM I Practice Questions + [EXTRA] PSM II,"Rating: 4.6 out of 5 4.6 (28,315)",nan,Current price $64.99,6 total hours 123 lectures Beginner,nan
Udemy,"Agile Scrum for Beginners + Scrum Master Certification Prep [UNOFFICIAL] Learn Scrum, understand the Agile principles + prepare for your Agile/Scrum Master certification in 2025","Valentin Despa, Valentin Despa - Support","[UNOFFICIAL] Learn Scrum, understand the Agile principles + prepare for your Agile/Scrum Master certification in 2025","Rating: 4.7 out of 5 4.7 (28,091)",nan,Current price $64.99,14.5 total hours 134 lectures All Levels,nan
Udemy,"Six Sigma: Certified Lean Six Sigma Green Belt (Accredited) Lean Six Sigma Green Belt (Accredited) | Master Lean Six Sigma Green Belt, Minitab, Green Belt Case Study | Earn PDUs",Advanced Innovation Group Pro Excellence (AIGPE),"Lean Six Sigma Green Belt (Accredited) | Master Lean Six Sigma Green Belt, Minitab, Green Belt Case Study | Earn PDUs","Rating: 4.6 out of 5 4.6 (27,558)",nan,Current price $79.99,18 total hours 511 lectures Intermediate,nan
Udemy,AWS Certified Cloud Practitioner Practice Exams CLF-C02 [2026] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat Sheets,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",[2026] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat Sheets,"Rating: 4.5 out of 5 4.5 (27,531)",nan,Current price $74.99,390 questions All Levels,nan
Udemy,AZ-303 Azure Architecture Technologies Exam Prep Prove your Azure Architect Technology skills to the world. Complete AZ-303 course.,"Scott Duffy • 1.000.000+ Students, Software Architect.ca",Prove your Azure Architect Technology skills to the world. Complete AZ-303 course.,"Rating: 4.7 out of 5 4.7 (27,282)",nan,Current price $69.99,12.5 total hours 152 lectures Intermediate,nan
Udemy,[NEW] AWS Certified Cloud Practitioner 2026 Video Course + Practice Tests | Pass the AWS Cloud Practitioner Exam!,Zeal Vora,Video Course + Practice Tests | Pass the AWS Cloud Practitioner Exam!,"Rating: 4.5 out of 5 4.5 (27,249)",nan,Current price $19.99,27 total hours 209 lectures Beginner,nan
Udemy,Snowflake – The Complete Masterclass Master Snowflake &amp; cloud data warehouse from the ground up,Nikolai Schuler,Master Snowflake & cloud data warehouse from the ground up,"Rating: 4.6 out of 5 4.6 (27,024)",nan,Current price $109.99,16.5 total hours 178 lectures All Levels,nan
Udemy,AZ-104 Microsoft Azure Administrator Certification Preparation for Microsoft Azure Administrator Certification AZ-104 exam.,Alan Rodrigues,Preparation for Microsoft Azure Administrator Certification AZ-104 exam.,"Rating: 4.6 out of 5 4.6 (26,657)",nan,Current price $74.99,27 total hours 313 lectures All Levels,nan
Udemy,Ultimate AWS Certified Solutions Architect Professional 2026 Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02,"Rating: 4.6 out of 5 4.6 (25,305)",nan,Current price $79.99,16.5 total hours 205 lectures Expert,nan
Udemy,"CCNA 2020 200-125 Video Boot Camp With Chris Bryant Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!","Rating: 4.6 out of 5 4.6 (25,275)",nan,Current price $74.99,62.5 total hours 467 lectures Beginner,nan
Udemy,"Amazon Web Services (AWS) Certified - 5 Certifications! AWS Certified (AI & Cloud Practitioner, Solutions Architect, Developer, SysOps Administrator Associate)","BackSpace Academy, Paul Coady","AWS Certified (AI & Cloud Practitioner, Solutions Architect, Developer, SysOps Administrator Associate)","Rating: 4.6 out of 5 4.6 (25,092)",nan,Current price $74.99,54.5 total hours 218 lectures All Levels,nan
Udemy,"TOTAL: CompTIA A+ Core 2 (220-1202) Course + Practice Exam Everything you need to pass the A+ Cert. Core 2 (220-1202) Exam, from Mike Meyers and Total Seminars with practice exam.","Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","Everything you need to pass the A+ Cert. Core 2 (220-1202) Exam, from Mike Meyers and Total Seminars with practice exam.","Rating: 4.7 out of 5 4.7 (24,914)",nan,Current price $19.99,21.5 total hours 155 lectures All Levels,nan
Udemy,ITIL 4 Foundation Practice Certification Exams (6 Exams) 6 Full-length ITIL 4 Foundation Timed Tests *** 40 Questions Each & 240 Questions Total (With feedback on each question),"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",6 Full-length ITIL 4 Foundation Timed Tests *** 40 Questions Each & 240 Questions Total (With feedback on each question),"Rating: 4.6 out of 5 4.6 (24,562)",nan,Current price $64.99,240 questions Beginner,nan
Udemy,"CISSP Certification: CISSP Domain 1 & 2 Boot Camp 2025 Exam Take the CISSP Domain 1 and 2 2025 certifications boot camp: Get 9 hours of video, study guides, and practice questions","Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches.com Support","Take the CISSP Domain 1 and 2 2025 certifications boot camp: Get 9 hours of video, study guides, and practice questions","Rating: 4.7 out of 5 4.7 (22,545)",nan,Current price $79.99,9 total hours 68 lectures All Levels,nan
Udemy,AWS Certified Solutions Architect Associate (SAA-C03) Course 2026 AWS Certified Solutions Architect Associate Video Course SAA-C03 | Hands-on Exercises + AWS Practice Exam + Slides,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",2026 AWS Certified Solutions Architect Associate Video Course SAA-C03 | Hands-on Exercises + AWS Practice Exam + Slides,"Rating: 4.6 out of 5 4.6 (22,487)",nan,Current price $74.99,23 total hours 290 lectures All Levels,nan
Udemy,AWS Certified CloudOps Engineer Associate SOA-C03 2026 Full Practice Test with Explanations included! PASS the AWS Certified CloudOps Engineer Associate SOA-C03 Exam,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Full Practice Test with Explanations included! PASS the AWS Certified CloudOps Engineer Associate SOA-C03 Exam,"Rating: 4.7 out of 5 4.7 (21,591)",nan,Current price $79.99,25 total hours 391 lectures All Levels,nan
Udemy,Practice Exams | AWS Certified Solutions Architect Associate Prepare for your SAA-C03 exam. 390 high-quality practice test questions written from scratch with detailed explanations!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Prepare for your SAA-C03 exam. 390 high-quality practice test questions written from scratch with detailed explanations!,"Rating: 4.6 out of 5 4.6 (21,322)",nan,Current price $74.99,390 questions Beginner,nan
Udemy,"The Complete Agile Scrum Fundamentals Course + Certification Agile Scrum from A to Z: Scrum a Project Management methodology, Scrum Fundamentals, Scrum concepts, Agile Scrum tools","YESI EDUCATION, Mauricio Rubio - Agile Guru & Founder of YESI EDUCATION, AgileKB & Grabdl","Agile Scrum from A to Z: Scrum a Project Management methodology, Scrum Fundamentals, Scrum concepts, Agile Scrum tools","Rating: 4.4 out of 5 4.4 (20,914)",nan,Current price $79.99,15 total hours 107 lectures Beginner,nan
Udemy,AWS Certified DevOps Engineer Professional 2026 - DOP-C02 Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,"Rating: 4.6 out of 5 4.6 (20,227)",nan,Current price $79.99,17 total hours 247 lectures Intermediate,nan
Udemy,Salesforce Certified Platform Administrator (Mar 2026) Updated Mar 2026 - Want to pass the Salesforce Admin Exam? with a focused course including mock test and best practice?,"Francis Pindar | Salesforce Certified Architect & 7x Salesforce MVP, Admin To Architect",Updated Mar 2026 - Want to pass the Salesforce Admin Exam? with a focused course including mock test and best practice?,"Rating: 4.6 out of 5 4.6 (18,712)",nan,Current price $69.99,22.5 total hours 143 lectures Beginner,nan
Udemy,"70-461, 761: Querying Microsoft SQL Server with Transact-SQL From Tables and SELECT queries to advanced SQL. SQL Server 2012, 2014, 2016, 2017, 2019, and 2022. Helps with DP-600","Phillip Burton • over one million students so far, I Do Data Limited","From Tables and SELECT queries to advanced SQL. SQL Server 2012, 2014, 2016, 2017, 2019, and 2022. Helps with DP-600","Rating: 4.6 out of 5 4.6 (18,423)",nan,Current price $74.99,28.5 total hours 270 lectures Beginner,nan
Udemy,GCP for Beginners - Become a Google Cloud Digital Leader Google Cloud for Beginners. Start Cloud Computing with GCP and become a Cloud Digital Leader.,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",Google Cloud for Beginners. Start Cloud Computing with GCP and become a Cloud Digital Leader.,"Rating: 4.6 out of 5 4.6 (17,210)",nan,Current price $59.99,12.5 total hours 209 lectures All Levels,nan
Udemy,Snowflake Decoded - Master the Fundamental Concepts Become a Snowflake Professional with hands-on training and expert guidance from an industry pro,Hamid Qureshi,Become a Snowflake Professional with hands-on training and expert guidance from an industry pro,"Rating: 4.6 out of 5 4.6 (16,741)",nan,Current price $64.99,5 total hours 83 lectures Intermediate,nan
Udemy,"AWS Certified Machine Learning Specialty 2026 - Hands On! AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling & more","Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane, Sundog Education Team","AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling & more","Rating: 4.5 out of 5 4.5 (16,626)",nan,Current price $79.99,15 total hours 167 lectures All Levels,nan
Udemy,"Python Data Structures & Algorithms + LEETCODE Exercises DSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!",Scott Barrett,"DSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!","Rating: 4.7 out of 5 4.7 (16,067)",nan,Current price $59.99,10.5 total hours 139 lectures All Levels,nan
Udemy,Identity and Access Management (IAM) Managing identities and their access level is the most important part of cyber security frameworks,Rassoul Zadeh,Managing identities and their access level is the most important part of cyber security frameworks,"Rating: 4.5 out of 5 4.5 (15,997)",nan,Current price $69.99,10.5 total hours 126 lectures Beginner,nan
Udemy,Six Sigma: Certified Lean Six Sigma White Belt (Accredited) Master Lean Six Sigma | Lean Six Sigma Simple and Easy! CPD Accredited Six Sigma Course | Get 2 PMI PDUs /PDCs/CPDs,"Sandeep Kumar, ­ Quality Gurus Inc.",Master Lean Six Sigma | Lean Six Sigma Simple and Easy! CPD Accredited Six Sigma Course | Get 2 PMI PDUs /PDCs/CPDs,"Rating: 4.7 out of 5 4.7 (15,958)",nan,Current price $64.99,1 total hour 19 lectures Beginner,nan
Udemy,Databricks Certified Data Engineer Associate - Preparation UPDATED: V25 JULY 2025 | Complete preparation for Databricks Data Engineer Associate certification + hands-on training,"Derar Alhussein | 10x Databricks Certified, Acadford ™",UPDATED: V25 JULY 2025 | Complete preparation for Databricks Data Engineer Associate certification + hands-on training,"Rating: 4.5 out of 5 4.5 (15,787)",nan,Current price $59.99,5 total hours 50 lectures All Levels,nan
Udemy,Salesforce Tableau Data Analyst/Specialist Desktop Cert Prep From beginners to skills needed for Tableau Data Analyst or Desktop Specialist certifications.,"Phillip Burton • over one million students so far, I Do Data Limited",From beginners to skills needed for Tableau Data Analyst or Desktop Specialist certifications.,"Rating: 4.5 out of 5 4.5 (15,072)",nan,Current price $79.99,15.5 total hours 182 lectures Beginner,nan
Udemy,AI-900 Azure AI Fundamentals Exam Prep In One Day Learn the basics of Azure AI and ML services and get certified with this complete AI-900 course!,"Scott Duffy • 1.000.000+ Students, Software Architect.ca",Learn the basics of Azure AI and ML services and get certified with this complete AI-900 course!,"Rating: 4.6 out of 5 4.6 (14,610)",nan,Current price $79.99,3.5 total hours 41 lectures All Levels,nan
Udemy,Azure Fundamentals: AZ-900 Certification +Practice Questions Updated October 2025,Kevin Brown,Updated October 2025,"Rating: 4.6 out of 5 4.6 (14,488)",nan,Current price $79.99,11 total hours 146 lectures Beginner,nan
Udemy,GCP Professional Cloud Architect: Google Cloud Certification Become a GCP Cloud Architect. Architect Google Cloud Platform (GCP) Solutions. Includes 4 New Case Studies.,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",Become a GCP Cloud Architect. Architect Google Cloud Platform (GCP) Solutions. Includes 4 New Case Studies.,"Rating: 4.6 out of 5 4.6 (14,222)",nan,Current price $99.99,23 total hours 365 lectures All Levels,nan
Udemy,"PL-900 prep: Microsoft Power Platform Fundamentals Learn about Power Apps, Power Automate, Power BI, the AI Builder and the Dataverse (CDS) - for Microsoft's PL-900 exam.","Phillip Burton • over one million students so far, I Do Data Limited","Learn about Power Apps, Power Automate, Power BI, the AI Builder and the Dataverse (CDS) - for Microsoft's PL-900 exam.","Rating: 4.5 out of 5 4.5 (14,181)",nan,Current price $79.99,6.5 total hours 84 lectures Beginner,nan
Udemy,MD-102 Endpoint Administrator Associate course with SIMS! Get prepared for the MD-102 with instructor led labs & hands on simulations available 24/7,"John Christopher | 490,000+ enrollments",Get prepared for the MD-102 with instructor led labs & hands on simulations available 24/7,"Rating: 4.6 out of 5 4.6 (14,070)",nan,Current price $64.99,11.5 total hours 89 lectures All Levels,nan
